Total Annual Payroll,ZIPCODE
77875,45810
77875,45810
894118,44870
9171,45760
9171,45760
298500,45013
779,43802
825412,43207
16828,45656
16828,45656
4451,45369
167559,45503
615078,45404
137872,45207
247498,45631
51408,45669
21503,43011
3581,43901
9006,45628
1360272,43537
1830686,44122
1002057,45601
173391,44121
800688,43604
1905760,44115
304555,44663
15063,43344
10115,45710
268542,44133
349660,44857
36672,44644
825412,43207
684586,45414
226937,44320
104789,44709
800688,43604
1366753,44130
175215,44502
98949,43609
291886,44484
435912,45237
377618,44883
10115,45710
185028,44134
599151,44111
297821,44102
185028,44134
185028,44134
106494,43613
244998,44503
1132,44817
115535,44055
162,45859
805710,44256
743805,43302
743805,43302
39418,43430
369612,44306
355091,44311
8156,45850
59465,44255
59465,44255
135888,43138
135888,43138
135888,43138
92538,44030
92538,44030
352342,44906
1002057,45601
475638,44805
187278,44707
175015,43920
165770,45640
2955121,43219
8156,45850
14558,45144
14558,45144
33246,45651
396232,44601
685344,45801
465140,45212
534179,45804
110344,44132
297821,44102
482229,45036
482229,45036
883470,43229
39302,45101
33282,43119
117329,43227
278413,45505
883470,43229
825412,43207
1461,45155
293,44555
185028,44134
17079,43102
599151,44111
70364,44123
600009,43615
615207,45044
883470,43229
783304,43205
317748,43232
428516,43204
280625,45214
185345,44112
17079,43102
297821,44102
6554408,45202
60056,45410
212075,45102
357321,45103
484609,45224
124384,44052
825412,43207
357321,45103
685344,45801
825412,43207
73311,44485
892,45711
135390,45415
106968,44509
692005,44077
205163,43614
615207,45044
585657,44646
57602,44270
999915,45236
124384,44052
1677318,44060
379262,43231
289276,45255
6233,44804
517523,44011
24451,44003
143400,43004
144435,44120
144435,44120
125634,44647
144435,44120
222110,45302
222110,45302
5449,45303
800688,43604
5449,45303
687999,43212
687999,43212
455640,45005
435912,45237
135390,45415
51610,43571
600009,43615
144337,44104
1031257,43701
6764,45813
688392,44109
124384,44052
124384,44052
876060,43612
6764,45813
50149,44606
106968,44509
382053,44103
46457,44703
42182,44076
1832752,43228
342108,44212
766789,43068
766789,43068
226145,43064
135390,45415
6233,44804
385101,43035
6233,44804
32718,45304
49270,43315
32718,45304
267036,43502
2939971,44114
267036,43502
317748,43232
783829,43055
39514,44444
317650,43607
428516,43204
248065,45231
98949,43609
6804,45814
6804,45814
179307,44321
801109,44135
317748,43232
475638,44805
475638,44805
5545,43003
438781,44004
38997,43103
16524,45780
461868,43420
12563,44807
12563,44807
5379,44201
129292,44875
291114,44023
6062,45873
78046,44615
364790,44202
364790,44202
30551,44010
346214,44515
865495,43026
517523,44011
517523,44011
517523,44011
409274,44012
254423,43222
364555,44708
511079,43512
511079,43512
82682,45067
15122,44428
9625,45612
58917,44473
243602,44305
630111,44203
7237,45784
47764,43713
47764,43713
80894,44054
267035,43221
3800,44430
1297409,44145
141940,43452
357321,45103
357321,45103
1042475,44333
685344,45801
685344,45801
685344,45801
211783,45449
52802,44140
52802,44140
574493,44481
1830686,44122
865495,43026
0,43716
0,43716
1771895,45342
31680,43203
124623,43224
175015,43920
175015,43920
178987,45434
79344,45419
917133,44146
685828,43213
6464,45218
40877,44704
54523,43906
27947,45305
27947,45305
249655,43311
16303,45416
249655,43311
151295,44811
151295,44811
31111,44813
438443,45420
386853,44460
115092,45714
267281,44118
688392,44109
66009,44021
3618,44401
29421,44610
7006,44814
13069,43155
13069,43155
482229,45036
221152,43209
235412,45371
31918,45106
235412,45371
31918,45106
339126,44310
243602,44305
205163,43614
29724,45715
527344,45431
221152,43209
22567,45614
133267,43074
428516,43204
188341,43605
1128824,44087
1718,44880
